,Prec ERA-5,Rain
2015-05-28 20:00:00,0.0075548887,0.0
2015-05-29 08:00:00,0.0014677644,0.0
2015-07-09 14:00:00,0.12492016,0.7
2015-07-16 18:00:00,2.211962,0.0
2015-07-16 19:00:00,2.4945326,0.8
2015-07-16 20:00:00,2.8370097,1.6
2015-07-16 21:00:00,3.0133314,2.6
2015-07-16 22:00:00,3.1116679,0.4
2015-07-16 23:00:00,3.3388548,0.2
2015-07-17 00:00:00,3.5251231,0.0
2015-07-17 01:00:00,0.44328347,0.0
2015-07-17 02:00:00,0.62905437,0.0
2015-07-17 03:00:00,0.7619634,0.0
2015-07-17 04:00:00,0.9416938,0.0
2015-07-17 05:00:00,0.9658598,0.0
2015-07-17 06:00:00,1.0247622,0.0
2015-07-17 07:00:00,1.0247622,0.0
2015-07-17 08:00:00,1.0247622,0.0
2015-07-17 09:00:00,1.0247622,0.0
2015-07-17 10:00:00,1.0247622,0.0
2015-07-17 11:00:00,1.0247622,0.0
2015-07-17 12:00:00,1.0247622,0.0
2015-07-17 13:00:00,1.0247622,0.0
2015-07-17 14:00:00,1.0255184,0.0
2015-07-17 15:00:00,1.0255184,0.0
2015-07-17 16:00:00,1.0255184,0.0
2015-07-17 17:00:00,1.0255184,0.0
2015-07-17 18:00:00,1.0255184,0.0
2015-07-17 19:00:00,1.0255184,0.0
2015-07-17 20:00:00,1.0255184,0.0
2015-07-17 21:00:00,1.0255184,0.0
2015-07-17 22:00:00,1.0255184,0.0
2015-07-17 23:00:00,1.0255184,0.0
2015-07-18 00:00:00,1.0256469,0.0
2015-07-18 01:00:00,1.8626451e-06,0.0
2015-07-18 02:00:00,1.8626451e-06,0.0
2015-07-18 03:00:00,1.8626451e-06,0.0
2015-07-18 04:00:00,1.8626451e-06,0.0
2015-07-18 05:00:00,1.8626451e-06,0.0
2015-07-18 06:00:00,1.8626451e-06,0.0
2015-07-18 07:00:00,1.8626451e-06,0.0
2015-07-18 08:00:00,1.8626451e-06,0.0
2015-07-18 09:00:00,1.8626451e-06,0.0
2015-07-18 10:00:00,1.8626451e-06,0.0
2015-07-18 11:00:00,1.8626451e-06,0.0
2015-07-18 12:00:00,1.8626451e-06,0.0
2015-07-18 13:00:00,1.8626451e-06,0.0
2015-07-18 14:00:00,0.0005904585,0.0
2015-07-18 15:00:00,0.0029467046,0.0
2015-07-18 16:00:00,0.004714355,0.0
2015-07-18 17:00:00,0.008247793,0.0
2015-07-18 18:00:00,0.022387132,0.0
2015-07-18 19:00:00,0.022387132,0.0
2015-07-18 20:00:00,0.022387132,0.0
2015-07-18 21:00:00,0.022975728,0.0
2015-07-18 22:00:00,0.022975728,0.0
2015-07-18 23:00:00,0.022975728,0.0
2015-07-19 00:00:00,0.023219734,0.0
2015-07-19 01:00:00,0.0,0.0
2015-07-19 02:00:00,0.0,0.0
2015-07-19 03:00:00,0.0,0.0
2015-07-19 04:00:00,0.0,0.0
2015-07-19 05:00:00,0.0,0.0
2015-07-19 06:00:00,0.0,0.0
2015-07-19 07:00:00,0.0,0.0
2015-07-19 08:00:00,0.0,0.0
2015-07-19 09:00:00,0.0,0.0
2015-07-19 10:00:00,0.0,0.0
2015-07-19 11:00:00,0.0,0.0
2015-07-19 12:00:00,0.0,0.0
2015-07-19 13:00:00,0.0,0.0
2015-07-19 14:00:00,0.0,0.0
2015-07-19 15:00:00,0.0,0.0
2015-07-19 16:00:00,0.0,0.0
2015-07-19 17:00:00,0.0,0.0
2015-07-19 18:00:00,0.0,0.0
2015-07-19 19:00:00,0.0,0.0
2015-07-19 20:00:00,0.0,0.0
2015-07-19 21:00:00,0.0,0.0
2015-07-19 22:00:00,0.0,0.0
2015-07-19 23:00:00,0.0,0.0
2015-07-20 00:00:00,0.0,0.0
2015-07-20 01:00:00,0.0,0.0
2015-07-20 02:00:00,0.0,0.0
2015-07-20 03:00:00,0.0,0.2
2015-07-20 04:00:00,0.0,0.2
2015-07-20 05:00:00,0.001013279,2.6
2015-07-20 06:00:00,0.002026558,7.0
2015-07-20 07:00:00,0.030390918,7.0
2015-07-20 08:00:00,0.0445731,3.8000000000000007
2015-07-20 09:00:00,0.050649047,0.0
2015-07-20 10:00:00,0.062808394,10.0
2015-07-20 11:00:00,0.13270602,6.4
2015-07-20 12:00:00,0.24109706,0.2
2015-07-20 13:00:00,0.81142783,0.2
2015-07-20 14:00:00,2.2002776,0.4
2015-07-20 15:00:00,5.443964,0.0
2015-07-20 16:00:00,8.307768,0.0
2015-07-20 17:00:00,11.111805,0.0
2015-07-20 18:00:00,13.421489,0.2
2015-07-20 19:00:00,13.950285,0.0
2015-07-20 20:00:00,14.197461,0.0
2015-07-20 21:00:00,14.61989,0.0
