time,Nivel,Precipitacion
1981,3.44,323.43724990606995
1982,5.56,735.5504932077881
1983,6.42,636.9314165535015
1984,3.95,151.404058959049
1985,6.2,358.7990852324675
1986,3.71,281.17464246583415
1987,3.61,185.19310770556652
1988,3.87,145.03412837739927
1989,6.32,189.91631645854918
1990,2.56,333.0846517460222
1991,4.36,376.0978678692747
1992,7.27,298.10626102091305
1993,3.55,561.4201414878763
1994,2.0,320.7555370071021
1995,4.44,689.8960686080057
1996,3.56,619.8873672471577
1997,6.25,1304.0558504186838
1998,4.49,823.6656492186274
1999,3.85,194.15798927216878
2000,2.75,238.92618002676193
2001,1.08,252.32254542529793
2002,2.28,428.2425836648897
2003,3.77,251.97320611417223
2004,4.69,413.4740707646192
2005,2.72,214.19925332527825
2006,3.5,170.18364070436752
2007,1.03,110.49037806657718
2008,1.92,231.57228989645807
2009,2.22,97.7659376267597
2010,3.05,268.9398343821818
2011,4.03,470.00629193030335
2012,4.5,117.44873901492055
2013,1.5,194.75657071852496
2014,7.17,192.8262663812889
2015,7.86,149.56659964667685
2016,1.92,288.13662634409695
2017,2.5,275.58797619111306
2018,6.0,444.88476187162115
2019,6.95,138.89105193103333
